dtReference,idVendedor,qtdPedidos,qtdDias,qtdItens,qtdRecencia,avgTicket,avgValorProduto,maxValorProduto,minValorProduto,avgProdutoPedido,maxVlPedido,minVlPedido,LTV,qtdDiasBase,avgIntervaloVendas
2018-01-01,9fc70243fb26800cba56e8f014797004,2,2,2,17.44335648138076,74.9,74.9,74.9,74.9,1,74.9,74.9,149.8,901,30.363194444216788
2018-01-01,9fe7c6641c79970ab48185498f547c09,1,1,1,174.12619212968275,130.0,130.0,130.0,130.0,1,130.0,130.0,130.0,901,
2018-01-01,a00824eb9093d40e589b940ec45c4eb0,2,2,2,82.39554398134351,2999.99,2999.99,2999.99,2999.99,1,2999.99,2999.99,5999.98,901,4.192175925709307
2018-01-01,a0415d9b25ede3c4b1e477e9916ffc03,3,3,3,48.97413194458932,353.2333333333333,353.2333333333333,499.9,259.9,1,499.9,259.9,2049.2000000000003,901,31.211961805587634
2018-01-01,a066df7361163e7ddc5d7452dd17448b,3,3,3,3.154189814813435,59.9,59.9,59.9,59.9,1,59.9,59.9,179.7,901,7.331741898320615
2018-01-01,a08692680c77d30a0b4280da5df01c5a,3,3,11,27.213333333376795,544.3333333333334,148.45454545454547,235.0,99.0,3,668.0,396.0,2103.0,901,1.4102546296082437
2018-01-01,a09a13f18ed27932d08438aa6f12756e,1,1,1,64.19620370352641,29.9,29.9,29.9,29.9,1,29.9,29.9,29.9,901,
2018-01-01,a1043bafd471dff536d0c462352beb48,240,111,263,1.4297916665673256,140.56120833333395,128.26878326996254,299.99,89.0,1,749.97,89.0,40714.110000000044,901,0.07623624125772331
2018-01-01,a13580f0e8f782b7a543885a0ef99f08,9,9,9,3.4474999997764826,133.8788888888889,133.8788888888889,199.99,82.99,1,199.99,82.99,1204.91,901,16.000944733794313
2018-01-01,a1474fd46fd3430168f7ec202da39408,7,7,7,70.52420138893649,188.28571428571428,188.28571428571428,435.0,91.0,1,435.0,91.0,2752.5,901,15.020779320970178
2018-01-01,a1544b9ea0b2390e020537d4daa89049,4,4,4,18.568587963003665,87.4,87.4,199.9,49.9,1,199.9,49.9,509.5,901,39.547534722213946
2018-01-01,a17f621c590ea0fab3d5d883e1630ec6,34,31,41,12.969629629515111,42.66764705882352,35.382926829268285,93.33,12.26,1,105.59,13.33,2234.249999999998,901,3.7204614790777364
2018-01-01,a1ed30492b3b798bc121845bc4aa7366,1,1,2,181.59498842572793,41.8,20.9,20.9,20.9,2,41.8,41.8,41.8,901,-0.40501157427206635
2018-01-01,a20d8058c866dbaeca014d2cd20ac62e,1,1,1,11.38021990749985,597.0,597.0,597.0,597.0,1,597.0,597.0,597.0,901,
2018-01-01,a23266650e7c84bb93fbbba502137478,11,11,16,2.2225347221828997,137.49090909090913,94.52500000000002,216.9,21.9,1,395.70000000000005,21.9,1512.4000000000003,901,9.791017691804361
2018-01-01,a247197e2e9c19a6a53a6888cb8b660f,2,2,2,8.23236111132428,399.0,399.0,399.0,399.0,1,399.0,399.0,798.0,901,2.541643518488854
2018-01-01,a2a41aedb70551d4a85aa04dc2fced48,2,2,2,28.547129629645497,26.395,26.395,28.9,23.89,1,28.9,23.89,52.79,901,16.420891203917563
2018-01-01,a2e85714b56b1cb6bb24a9a6e6cad36f,2,1,3,62.138784722425044,169.85000000000002,113.23333333333335,114.9,109.9,1,224.8,114.9,339.70000000000005,901,-0.6171412034891546
2018-01-01,a2e874074c877c5a05abae80ad6e488f,17,16,18,5.482430555392057,104.21941176470591,98.42944444444447,275.93,7.96,1,275.93,15.92,3940.87,901,9.10966503266793
2018-01-01,a2fa0bdc798ee84cdb08281337cf4fb6,1,1,4,91.93400462949648,180.0,45.0,45.0,45.0,4,180.0,180.0,354.56,901,-0.065995370503515
2018-01-01,a3082f442524a1be452e3189e003b361,1,1,1,174.14756944449618,59.9,59.9,59.9,59.9,1,59.9,59.9,59.9,901,
2018-01-01,a353b1083c9863d756d9404695016d64,1,1,1,24.015543981455266,120.0,120.0,120.0,120.0,1,120.0,120.0,120.0,901,
2018-01-01,a35ef466c6fd6d052f5d241240d3c5e2,3,3,3,92.22307870350778,189.96666666666667,189.96666666666667,395.0,29.9,1,395.0,29.9,569.9,901,22.55215856479481
2018-01-01,a369d693961cb93b61ca2cc518872a85,3,3,6,25.03072916669771,285.6666666666667,142.83333333333334,288.0,67.0,2,448.0,201.0,857.0,901,4.31008969899267
2018-01-01,a36ac007a4d18f865c8d32c3b2402c2d,2,2,2,116.34962962940335,234.925,234.925,359.86,109.99,1,359.86,109.99,1359.78,901,1.5417824075557292
2018-01-01,a36b125ac6d5fdbc7f50de85c9157bdc,7,7,9,33.418935185298324,59.27285714285715,46.101111111111116,49.99,29.99,1,149.97,29.99,1049.8,901,20.20574570107939
2018-01-01,a37c340b91cb0169e8b029db6440fba2,4,4,4,108.30760416667908,69.0,69.0,69.0,69.0,1,69.0,69.0,345.0,901,7.421720679073284
2018-01-01,a3a38f4affed601eb87a97788c949667,88,68,94,12.981574073899537,107.59284090909073,100.72521276595727,379.9,34.99,1,379.9,34.99,21892.460000000054,901,1.2427195299862195
2018-01-01,a3b0df0065e264a91b7bbf5f844af5cd,2,2,2,99.2504976852797,93.345,93.345,127.48,59.21,1,127.48,59.21,186.69,901,2.3691203705966473
2018-01-01,a3dd39f583bc80bd8c5901c95878921e,30,22,32,25.986990740522742,141.9736666666667,133.10031250000003,215.56,39.9,1,431.12,39.9,4259.210000000001,901,2.812803166032198
2018-01-01,a3e9a2c700480d9bb01fba070ba80a0e,45,41,49,2.3307523149996996,97.82222222222222,89.83673469387755,232.0,38.0,1,232.0,38.0,5534.9,901,3.1936313041703817
2018-01-01,a3f0b55de503387383c7b1de3ad7f678,2,2,2,83.27239583339542,189.9,189.9,189.9,189.9,1,189.9,189.9,379.8,901,12.21228009276092
2018-01-01,a416b6a846a11724393025641d4edd5e,45,41,48,13.20877314824611,196.93333333333337,184.62500000000003,810.0,39.9,1,810.0,39.9,13616.119999999999,901,2.893794572496034
2018-01-01,a420f60ff1aa9acc80d0e42959f2b313,12,12,12,17.27090277755633,121.0,121.0,199.0,62.0,1,199.0,62.0,1452.0,901,10.429628577422012
2018-01-01,a425f92c199eb576938df686728acd20,7,7,8,0.1546990741044283,56.642857142857146,49.5625,85.0,27.0,1,85.0,34.0,456.0,901,12.112576058134437
2018-01-01,a435b009cd956ea60748b5cfbddf2e24,1,1,1,158.57961805537343,154.99,154.99,154.99,154.99,1,154.99,154.99,361.18,901,
2018-01-01,a44fb5a447105f8469bdf16bf9159f25,3,3,3,23.525219907518476,99.0,99.0,99.0,99.0,1,99.0,99.0,297.0,901,8.169751157285646
2018-01-01,a49928bcdf77c55c6d6e05e09a9b4ca5,78,53,83,3.162812499795109,88.59999999999988,83.26265060240954,89.9,19.0,1,179.8,19.0,7360.299999999989,901,1.635176101746627
2018-01-01,a4b6b9b992b46e9ef863637af96e04bc,1,1,1,183.4423032407649,129.0,129.0,129.0,129.0,1,129.0,129.0,7147.0,901,
2018-01-01,a513150f33f99a06569e9cd5c4bb889b,2,2,2,30.35226851841435,338.5,338.5,548.35,128.65,1,548.35,128.65,677.0,901,3.403032407630235
2018-01-01,a5259c149128e82c9d6d46e0c1c812bb,5,5,5,17.573043981567025,201.49200000000002,201.49200000000002,349.0,42.36,1,349.0,42.36,1007.46,901,33.28654513892252
2018-01-01,a5bff0f43eb51f0cad7c37fac7244c8a,1,1,1,95.38122685207054,89.0,89.0,89.0,89.0,1,89.0,89.0,445.0,901,
2018-01-01,a5cba26a62b8b4d0145b68b841e62e7f,8,8,9,29.09902777755633,282.23,250.87111111111113,427.0,79.9,1,643.4,79.9,2257.84,901,16.020824652863666
2018-01-01,a5dd1946fb63ada8bcaa0c9cd8f11e22,3,3,3,33.70608796318993,44.72666666666667,44.72666666666667,61.89,24.41,1,61.89,24.41,134.18,901,39.88931134273298
2018-01-01,a673821011d0cec28146ea42f5ab767f,43,30,48,16.19680555537343,93.29697674418605,83.57854166666668,198.0,34.99,1,198.0,34.99,6770.919999999991,901,2.9466842908137054
2018-01-01,a67780aba9dd436e7ac0aa1f889e73ec,2,2,2,33.33785879611969,171.9,171.9,171.9,171.9,1,171.9,171.9,343.8,901,3.483900462742895
2018-01-01,a6bd7d1ccdac48c6b33b28596b7eb122,8,8,8,9.236932870466262,973.125,973.125,1449.5,449.5,1,1449.5,449.5,8764.0,901,21.362528108392976
2018-01-01,a6fe7de3d16f6149ffe280349a8535a0,22,20,23,3.1933333333581686,59.4409090909091,56.85652173913045,59.9,49.9,1,119.8,49.9,1307.7000000000003,901,7.3943386243079745
2018-01-01,a70e9066dbfd10b6b97a3f54a1356762,1,1,2,41.24236111110076,858.0,429.0,429.0,429.0,2,858.0,858.0,1716.0,901,-0.7576388888992369
2018-01-01,a81466620e46a6970b22ef40379fdfc9,2,2,2,79.39646990736946,160.9,160.9,160.9,160.9,1,160.9,160.9,321.8,901,1.572870370466262
2018-01-01,a888faf2d1baececa6baf9c3d603ee1f,12,12,13,16.259270833339542,244.1666666666667,225.38461538461542,259.9,129.9,1,390.0,129.9,16516.29999999999,901,11.7041464120072
2018-01-01,a89e143d5211473ae18db9577ee34b64,1,1,1,85.6422800924629,70.0,70.0,70.0,70.0,1,70.0,70.0,140.0,901,
2018-01-01,a938325a4b357fd23a6a4d5bb126408e,10,10,11,3.454247685149312,151.9,138.0909090909091,169.0,79.0,1,169.0,89.0,1519.0,901,9.72944328696467
2018-01-01,a99504ac23ed125aaf5302af6cc30af9,1,1,1,78.38474537059665,978.0,978.0,978.0,978.0,1,978.0,978.0,978.0,901,
2018-01-01,a9ae440659f48b7849df83e82734150b,1,1,1,79.45090277772397,285.0,285.0,285.0,285.0,1,285.0,285.0,285.0,901,
2018-01-01,a9b533a26e898b12e8b8d4c07279bf4d,4,4,4,23.186759259086102,29.9,29.9,29.9,29.9,1,29.9,29.9,119.6,901,42.710925925988704
2018-01-01,aa17b35ce4de7b565be3249ba838944f,2,2,2,121.25209490722045,39.9,39.9,39.9,39.9,1,39.9,39.9,79.8,901,7.106481481343508
2018-01-01,aa1eb17b9fdf6dfd546e25c45c7b9235,1,1,1,30.531851851847023,27.99,27.99,27.99,27.99,1,27.99,27.99,27.99,901,
2018-01-01,aac29b1b99776be73c3049939652091d,30,29,43,0.9896064815111458,66.52933333333337,46.415813953488396,239.0,12.49,1,239.0,12.49,5226.3799999999965,901,3.980761638402732
2018-01-01,aadfe0417e61315688b6bd7043361e25,1,1,1,150.63859953684732,289.9,289.9,289.9,289.9,1,289.9,289.9,289.9,901,
2018-01-01,aae3bfea055532c57fb453ed3ec80b30,21,21,21,34.402233796194196,61.653333333333315,61.653333333333315,180.0,28.99,1,180.0,28.99,2819.939999999999,901,6.677771412045695
