,Nome,Aparição
1,george-hamilton,Biohazard / Resident Evil Outbreak File #2
0,george-trevor,Biohazard / Resident Evil Remake
0,gina-foley,Biohazard / Resident Evil Revelations 2
0,greg-glenn,Biohazard / Resident Evil: Degeneration
0,harley-erez-morris,Biohazard / Resident Evil: Operation Raccoon City
0,helena-harper,Biohazard / Resident Evil 6
0,hunk,Biohazard / Resident Evil 2
1,hunk,Biohazard / Resident Evil 4
2,hunk,Biohazard / Resident Evil: The Mercenaries 3D
3,hunk,Biohazard / Resident Evil: Operation Raccoon City
4,hunk,Biohazard RE:2 / Resident Evil 2
0,ingrid-hunnigan,Biohazard / Resident Evil 4
1,ingrid-hunnigan,Biohazard / Resident Evil: Degeneration
2,ingrid-hunnigan,Biohazard / Resident Evil: Damnation
3,ingrid-hunnigan,Biohazard / Resident Evil 6
0,jack-krauser,Biohazard / Resident Evil 4
1,jack-krauser,Biohazard / Resident Evil: The Mercenaries 3D
0,jack-norman,Biohazard / Resident Evil: Revelations
0,jake-muller,Biohazard / Resident Evil 6
0,james-marcus,Biohazard / Resident Evil 0
0,jd-damnation,Biohazard / Resident Evil: Damnation
0,jessica-sherawat,Biohazard / Resident Evil: Revelations
0,jill-valentine,Biohazard / Resident Evil Clássico
1,jill-valentine,Biohazard / Resident Evil Remake
2,jill-valentine,Biohazard / Resident Evil: Deadly Silence
3,jill-valentine,Biohazard / Resident Evil 5
4,jill-valentine,Biohazard / Resident Evil: The Mercenaries 3D
5,jill-valentine,Biohazard / Resident Evil: Revelations
6,jill-valentine,Biohazard / Resident Evil: Operation Raccoon City
0,jim-chapman,Biohazard / Resident Evil Outbreak
1,jim-chapman,Biohazard / Resident Evil Outbreak File #2
0,joe-baker,Biohazard / Resident Evil 7
0,john,Biohazard / Resident Evil Clássico
1,john,Biohazard / Resident Evil 2
2,john,Biohazard / Resident Evil Remake
0,joseph-frost,Biohazard / Resident Evil Clássico
1,joseph-frost,Biohazard / Resident Evil Remake
2,joseph-frost,Biohazard / Resident Evil 0
3,joseph-frost,Biohazard / Resident Evil: Deadly Silence
0,josh-stone,Biohazard / Resident Evil 5
0,katherine-warren,Biohazard / Resident Evil 2
1,katherine-warren,Biohazard RE:2 / Resident Evil 2
0,keith-lumley,Biohazard / Resident Evil: Revelations
0,kenneth-j-sullivan,Biohazard / Resident Evil Clássico
1,kenneth-j-sullivan,Biohazard / Resident Evil Remake
2,kenneth-j-sullivan,Biohazard / Resident Evil 0
3,kenneth-j-sullivan,Biohazard / Resident Evil: Deadly Silence
0,kevin-dooley,Biohazard / Resident Evil Remake
1,kevin-dooley,Biohazard / Resident Evil 0
0,kevin-ryman,Biohazard / Resident Evil Outbreak
1,kevin-ryman,Biohazard / Resident Evil Outbreak File #2
0,kirk-mathison,Biohazard / Resident Evil: Revelations
1,kirk-mathison,Biohazard / Resident Evil 5
0,leon-s-kennedy,Biohazard / Resident Evil 2
1,leon-s-kennedy,Biohazard / Resident Evil Gaiden
2,leon-s-kennedy,Biohazard / Resident Evil 4
3,leon-s-kennedy,Biohazard / Resident Evil: Degeneration
4,leon-s-kennedy,Biohazard / Resident Evil: Operation Raccoon City
5,leon-s-kennedy,Biohazard / Resident Evil: Damnation
6,leon-s-kennedy,Biohazard / Resident Evil 6
7,leon-s-kennedy,Biohazard / Resident Evil: Vendetta
8,leon-s-kennedy,Biohazard RE:2 / Resident Evil 2
0,lily-klein,Biohazard Gun Survivor / Resident Evil Survivor
